date,usd_buy_black_market,usd_sell_black_market,usd_buy_bank,usd_sell_bank,usd_deposit_bank,gap_black_market,gap_bank,difference_buy,difference_sell
12-04-2021,23600,23680,22950,23160,22980,80,210,0.028322440087146017,0.022452504317789224
13-04-2021,23600,23680,22950,23160,22980,80,210,0.028322440087146017,0.022452504317789224
14-04-2021,23600,23680,22950,23160,22980,80,210,0.028322440087146017,0.022452504317789224
15-04-2021,23600,23680,22950,23160,22980,80,210,0.028322440087146017,0.022452504317789224
16-04-2021,23600,23680,22950,23160,22980,80,210,0.028322440087146017,0.022452504317789224
17-04-2021,23600,23680,22950,23160,22980,80,210,0.028322440087146017,0.022452504317789224
18-04-2021,23600,23680,22950,23160,22980,80,210,0.028322440087146017,0.022452504317789224
19-04-2021,23600,23680,22955,23165,22985,80,210,0.028098453495970288,0.02223181523850637
20-04-2021,23600,23680,22960,23170,22990,80,210,0.027874564459930307,0.022011221406991854
21-04-2021,23600,23680,22960,23170,22990,80,210,0.027874564459930307,0.022011221406991854
22-04-2021,23600,23680,22955,23165,22985,80,210,0.028098453495970288,0.02223181523850637
23-04-2021,23600,23680,22945,23155,22975,80,210,0.02854652429723248,0.022673288706542838
24-04-2021,23600,23680,22945,23155,22975,80,210,0.02854652429723248,0.022673288706542838
25-04-2021,23600,23680,22945,23155,22975,80,210,0.02854652429723248,0.022673288706542838
26-04-2021,23600,23680,22940,23150,22970,80,210,0.028770706190061057,0.022894168466522702
27-04-2021,23600,23680,22930,23140,22960,80,210,0.02921936327954655,0.023336214347450257
28-04-2021,23600,23680,22930,23140,22960,80,210,0.02921936327954655,0.023336214347450257
29-04-2021,23600,23680,22930,23140,22960,80,210,0.02921936327954655,0.023336214347450257
30-04-2021,23600,23680,22930,23140,22960,80,210,0.02921936327954655,0.023336214347450257
01-05-2021,23600,23680,22930,23140,22960,80,210,0.02921936327954655,0.023336214347450257
02-05-2021,23600,23680,22930,23140,22960,80,210,0.02921936327954655,0.023336214347450257
03-05-2021,23600,23680,22930,23140,22960,80,210,0.02921936327954655,0.023336214347450257
04-05-2021,23300,23350,22940,23150,22970,50,210,0.015693112467306092,0.008639308855291628
05-05-2021,23300,23350,22940,23150,22970,50,210,0.015693112467306092,0.008639308855291628
06-05-2021,23300,23350,22940,23150,22970,50,210,0.015693112467306092,0.008639308855291628
07-05-2021,23300,23350,22950,23160,22980,50,210,0.015250544662309462,0.00820379965457696
08-05-2021,23300,23350,22950,23160,22980,50,210,0.015250544662309462,0.00820379965457696
09-05-2021,23300,23350,22950,23160,22980,50,210,0.015250544662309462,0.00820379965457696
10-05-2021,23300,23350,22940,23150,22970,50,210,0.015693112467306092,0.008639308855291628
11-05-2021,23300,23350,22930,23160,22960,50,230,0.016136066288704676,0.00820379965457696
12-05-2021,23300,23350,22930,23160,22960,50,230,0.016136066288704676,0.00820379965457696
13-05-2021,23300,23350,22910,23140,22940,50,230,0.01702313400261901,0.00907519446845284
14-05-2021,23300,23350,22920,23150,22950,50,230,0.016579406631762605,0.008639308855291628
15-05-2021,23300,23350,22920,23150,22950,50,230,0.016579406631762605,0.008639308855291628
16-05-2021,23300,23350,22920,23150,22950,50,230,0.016579406631762605,0.008639308855291628
